customer_id,customer_name,email,phone,registration_date,total_orders,total_spent,preferred_category,loyalty_tier,marketing_consent,street,city,state,zip_code,country
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,Michelle Miles,lrobinson@example.com,3268542351,2024-08-10T16:46:42.633241,81,2523.39,Clothing,Silver,True,433 Jill Springs,"New Roberttown,",CO,29158,USA
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,David Garcia,shawn52@example.com,(534)719-2832x764,2023-11-07T16:46:42.633241,94,2770.56,Electronics,Platinum,True,407 Teresa Lane Apt. 849,"Barbaraland,",AZ,87174,USA
23bed01d-43cf-4fde-a493-3b83757750a9,Justin Baker,zhurst@example.com,828.371.0122,2024-09-22T16:46:42.634245,3,83.41,Beauty,Bronze,True,05641 Robin Port,"Jasonfort,",MO,84760,USA
c30ff46e-8026-495f-b8cd-a88b436d76e2,Thomas Harrell,meagan89@example.org,(252)388-0957,2023-11-07T16:46:42.635386,91,12146.5,Home & Kitchen,Silver,False,480 Erin Plain Suite 514,"Mooretown,",VA,94830,USA
bb5e4bcf-15ed-4269-9429-6c07f26b4776,Mr. Philip Cannon,donnaarroyo@example.org,989-363-8346x578,2025-05-12T16:46:42.636397,75,4714.22,Clothing,Platinum,False,USNV Allen,FPO,AE,74865,USA
474a493b-3ced-4f2d-839f-bc501223b513,Cindy Anderson,esanchez@example.com,311.265.6670,2024-06-08T16:46:42.636397,35,1383.94,Electronics,Bronze,False,0983 Adrian Station,"East Carloston,",VI,43810,USA
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Carol Tucker,michellebarrera@example.org,(206)247-4687x2343,2024-05-31T16:46:42.637398,12,938.47,Beauty,Gold,True,33387 Robert Harbors Suite 317,"North Deniseside,",MP,02435,USA
e3e9de99-f10c-418b-9eb0-e38a675dd5af,Lauren Williams,barnesbrandy@example.net,343-353-4624x75107,2025-01-11T16:46:42.637398,93,9048.04,Home & Kitchen,Bronze,False,97882 Susan Common,"North Brooke,",TX,31329,USA
1b66b5a9-e3c4-4657-9d8c-bbac43b409ef,Brittney Campbell,jenniferharris@example.net,687-440-1640x052,2024-05-13T16:46:42.637398,80,10201.5,Beauty,Silver,True,51354 Samuel Plains Suite 980,"Sarahville,",FM,18102,USA
ae9bec36-35c7-436c-9b99-62c6e61fecc0,Brian Deleon,vdickson@example.org,622.460.2563,2024-07-26T16:46:42.638860,5,678.2,Electronics,Silver,True,011 Amy Village Suite 982,"Andersonport,",MN,05730,USA
11c58ef0-dd46-4c09-8752-87aa5408f9ac,Diana May,ifrazier@example.com,8147294019,2023-08-07T16:46:42.639873,48,3015.12,Books,Silver,False,0733 Bailey View,"East Andrew,",ID,52728,USA
d9178793-a9d3-42e6-905c-c6869f871ce7,Steven Hunter,snguyen@example.com,+1-823-266-2994,2024-08-18T16:46:42.639873,45,2241.29,Sports,Bronze,True,9816 Jonathan Station Suite 088,"West Ryan,",TN,43780,USA
a2086977-a9f2-4336-83f4-a9a948a639d0,Anna Crane,emilywalker@example.org,(500)837-9176,2024-12-02T16:46:42.640948,68,10100.32,Home & Kitchen,Platinum,False,9957 Ramos Forest,"Leonburgh,",TN,11615,USA
513a7052-986f-4025-8f15-ba58fce68504,Stephanie Salazar,jrivas@example.com,(677)943-4873,2024-10-06T16:46:42.640948,81,11400.81,Sports,Gold,True,01632 Williams Gateway,"South Dennismouth,",TN,70117,USA
63b4c08b-6b8e-469f-9538-5b0e34f3193c,Lauren Dominguez,wwoods@example.com,001-766-888-9373x46706,2024-06-29T16:46:42.641953,29,4818.13,Home & Kitchen,Gold,True,45581 Edward Lights Apt. 316,"Riveramouth,",MT,08662,USA
610e6a64-e130-4617-82df-f33556666f9f,Trevor Fisher,ruizkaitlyn@example.org,(931)300-3309x232,2023-10-16T16:46:42.641953,27,4954.39,Sports,Gold,True,98069 Christopher Meadow Apt. 720,"Nicholasborough,",NH,43341,USA
60141de9-f54a-40a2-a874-66d7ad66a1bd,Miguel Jones,curtisbarton@example.net,+1-819-905-8651x850,2023-07-30T16:46:42.642957,83,8702.88,Home & Kitchen,Silver,False,4529 Kimberly Estates,"Danieltown,",ME,75971,USA
ef43613c-d4aa-49a3-bed8-c56cda09dfa0,Stephen Sanchez,qhudson@example.com,207-552-7354x54948,2023-10-22T16:46:42.642957,17,966.61,Beauty,Gold,False,726 Jessica Run Suite 987,"Grahamshire,",KY,42746,USA
ff233d5f-6ced-415d-9800-7c0287ea7ff5,Erin Warner,kristopher31@example.net,651.382.3374,2024-10-06T16:46:42.644040,74,6355.57,Clothing,Platinum,True,8377 Mcguire Course Suite 363,"Elizabethstad,",NJ,73045,USA
40a26c60-0d27-4659-b72a-da9b2f32751e,Karen Short,kvasquez@example.net,+1-502-829-4131x86999,2025-01-26T16:46:42.644040,96,1819.4,Clothing,Silver,False,52408 Joshua Center Suite 271,"New Justinfort,",NV,45158,USA
b07aa066-7354-45ea-a894-9b8d00af5b3a,Doris Hall,jacqueline71@example.net,649.436.1832,2024-04-23T16:46:42.645282,76,1677.34,Beauty,Platinum,False,9649 Chelsea Streets Apt. 334,"East Johnside,",CA,21018,USA
0a3450fc-9918-4e46-9497-d6587010f719,Morgan Munoz,davissuzanne@example.net,001-604-490-2787,2025-05-07T16:46:42.645282,70,12148.37,Sports,Bronze,False,9947 Taylor Hollow,"Benderhaven,",ND,65223,USA
6961929e-546e-435a-a92b-d156db946570,Donna Landry,gibsonleonard@example.com,768-908-7603,2025-01-24T16:46:42.645282,98,12914.71,Books,Platinum,True,Unit 6717 Box 5655,DPO,AP,14211,USA
3985fb62-17dc-4eff-a872-13f98d605936,Susan Murray MD,tyronemoran@example.net,001-446-377-3782x639,2024-08-22T16:46:42.646284,58,615.76,Beauty,Silver,True,48247 Martinez Roads,"Lake Eric,",OH,02293,USA
5260001e-eecf-47d2-b491-76f46090d697,Veronica Allen,xhall@example.com,7573662702,2023-08-03T16:46:42.646284,80,5336.36,Beauty,Silver,True,8404 Monroe Prairie Suite 278,"Reedside,",WV,71729,USA
c268283e-e32f-4e63-b7fd-dd71a075e927,Joshua Williamson II,wendy16@example.org,001-517-824-0050x45562,2023-11-13T16:46:42.647285,47,7279.22,Beauty,Bronze,False,87026 Charles Tunnel Suite 596,"Port Markside,",MS,42006,USA
e61ede90-0267-4eb3-aab6-12c9415d174a,Stephanie Byrd,charleslandry@example.net,664-674-3671x3695,2024-05-12T16:46:42.647285,62,849.44,Books,Silver,True,21969 Tyler Prairie,"East Steven,",KS,60737,USA
d69d42f1-ae4c-44ff-a8c0-1f05c478f6f1,Brent Burton,parkerscott@example.net,(621)445-6232x858,2025-02-27T16:46:42.648287,30,5304.65,Electronics,Platinum,True,0909 Wall Heights Apt. 953,"New John,",WV,94994,USA
ac1e86d8-bfbf-497b-ac3e-7b0d5e5ba13d,James Little,daniel37@example.org,+1-285-693-1746x120,2025-01-10T16:46:42.648287,97,10787.77,Clothing,Platinum,True,5171 Karen Fork Suite 851,"Smithside,",DE,60110,USA
6b4be411-8a4a-4e2d-b22b-5b98b24cc64f,Molly Mcclure,basschristina@example.com,7532773515,2023-09-05T16:46:42.649295,33,3638.51,Home & Kitchen,Silver,True,Unit 1138 Box 2675,DPO,AP,97905,USA
d0243d72-3748-467f-961d-33ba350843f0,Erin Hernandez,ramireztracey@example.org,+1-742-210-2053,2023-07-01T16:46:42.649295,91,6299.57,Sports,Gold,False,71390 Kristin Gardens,"Port Anne,",CA,73142,USA
a4b1f991-7542-4646-8d37-a539857dd3b3,Amy Mendoza,gsimmons@example.com,001-771-815-9212x499,2024-09-07T16:46:42.650308,66,6321.64,Clothing,Bronze,False,68117 Strickland Passage,"South Williamton,",VA,86864,USA
b888f6ed-8d24-4e3e-84da-bddbe0b15aba,Jessica Beasley,dmorgan@example.com,(315)765-4527x11116,2024-09-25T16:46:42.650308,2,243.56,Beauty,Silver,True,Unit 8478 Box 9611,DPO,AP,85817,USA
93f277cc-1a85-410d-9a05-7c114ffca6b1,Brittney Olson,bellangela@example.org,001-649-636-8998x09402,2025-03-19T16:46:42.650308,9,1300.41,Clothing,Bronze,True,885 Robert Well,"Parrishton,",LA,79197,USA
bf012e32-177d-4e7e-87d9-24cef8c88fae,Jamie Chavez,mitchellgriffith@example.net,+1-910-822-9014x767,2024-09-17T16:46:42.651311,42,985.44,Books,Platinum,True,"PSC 5022, Box 9612",APO,AP,83492,USA
